,Age,Duration_of_Residency,Household_Size,Education_Completed,English_Speaking,English_Difficulties
0,0.015160057809679228,-0.05134441011588402,-0.01731138702837075,-0.0711129203005489,-0.12240001201716984,0.018950293616916605
1,-0.23264059188231118,-0.1566276465121297,-0.07638014884989745,0.07605832543562689,0.11030843007183747,0.01676143986363291
2,-0.10699724349905469,0.11036445227930657,-0.023899921765380264,0.03948618838670688,0.1647338207419273,-0.05973325744130734
3,-0.0012674696517415934,-0.04678789017762033,0.020830297482221406,-0.1182783074814931,-0.03909328846661414,0.01655920521234466
4,0.02957830401891179,-0.035756613504373695,-0.006416492228001424,0.034755383904280374,0.05972527491448379,0.06841669303555784
5,0.01015843116930968,0.032059871502066746,-0.050821252486167645,0.09702567917672841,-0.02845926543266856,0.015856910848086228
6,-0.0171364949322584,-0.020104548671904043,-0.008275242324343044,0.010508574000088526,0.001030144114585236,0.0200511230584433
7,0.029525167009808173,0.14393808729134677,0.06144841283480927,-0.10825492784853916,0.08843919080833183,-0.08046218839763598
8,-0.094818012529742,-0.058151346613954026,0.050455592712428415,-0.07711007632713424,-0.09800160423119988,0.002254255832571897
9,0.04100921166943936,0.11557270735354269,-0.09795934253881121,0.02218081093249338,0.025930426254728575,-0.05245133934948715
